title,description,image,href,price,vat,finalPrice,productionYear,power,gearbox,bodyType,fuel,km,externalId
"Volkswagen Passat","08/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134199/h=112/10134199.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10134198/volkswagen-passat-variant-comfortline-20-110kw-aut/,18950,20,19140,2015-08,110,Automatinė,Universalas,Dyzelis,70710,10134198
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133700/h=112/10133700.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133699/volkswagen-passat-comfortline-14-92kw-aut/,19900,20,20099,2018-06,92,Automatinė,Sedanas,Benzinas,47066,10133699
"Volkswagen Passat","10/2015, 2.0 dyzelis, 150 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134001/h=112/10134001.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133589/volkswagen-passat-comfortline-nr35-20-110kw-mech/,15500,21,15500,2015-10,110,Mechaninė,Universalas,Dyzelis,140239,10133589
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133846/h=112/10133846.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133523/volkswagen-passat-comfortline-nr29-14-92kw-aut/,18400,21,18400,2018-05,92,Automatinė,Sedanas,Benzinas,63895,10133523
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133807/h=112/10133807.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133522/volkswagen-passat-comfort-line-14-tsi-dsg-nr30-14-92kw-aut/,19100,21,19100,2018-05,92,Automatinė,Sedanas,Benzinas,44539,10133522
"Volkswagen Passat","11/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134465/h=112/10134465.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133460/volkswagen-passat-20-110kw-aut/,19200,21,19200,2015-11,110,Automatinė,Universalas,Dyzelis,154484,10133460
"Volkswagen Passat","04/2014, 1.4 benzinas, 122 Agsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134551/h=112/10134551.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133350/volkswagen-passat-2014m-nr37-14-90kw-mech/,8850,0,10709,2014-04,90,Mechaninė,Sedanas,Benzinas,105500,10133350
"Volkswagen Passat","04/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133370/h=112/10133370.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133347/volkswagen-passat-comfortline-2015m-nr46-20-110kw-aut/,14200,0,17182,2015-04,110,Automatinė,Universalas,Dyzelis,196550,10133347
"Volkswagen Passat","09/2016, 1.8 benzinas, 180 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133966/h=112/10133966.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10133043/volkswagen-passat-comfortline-2016m-nr17-18-132kw-aut/,18900,21,18900,2016-09,132,Automatinė,Universalas,Benzinas,36187,10133043
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132958/h=112/10132958.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132956/volkswagen-passat-comfortline-nr46-14-92kw-aut/,18750,21,18750,2018-05,92,Automatinė,Sedanas,Benzinas,63029,10132956
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132938/h=112/10132938.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132935/volkswagen-passat-14-92kw-aut/,19450,21,19450,2018-05,92,Automatinė,Sedanas,Benzinas,51268,10132935
"Volkswagen Passat","07/2014, 2.0 dyzelis, 177 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132848/h=112/10132848.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132802/volkswagen-passat-comfortline-20-130kw-aut/,11600,21,11600,2014-07,130,Automatinė,Universalas,Dyzelis,154094,10132802
"Volkswagen Passat","04/2016, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134212/h=112/10134212.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132747/volkswagen-passat-rline-2016m-nr87-20-140kw-aut/,17600,21,17600,2016-04,140,Automatinė,Universalas,Dyzelis,166400,10132747
"Volkswagen Passat","01/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134143/h=112/10134143.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132730/volkswagen-passat-rline-2016m-nr79-20-110kw-aut/,17400,21,17400,2016-01,110,Automatinė,Universalas,Dyzelis,162865,10132730
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132615/h=112/10132615.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132614/volkswagen-passat-comfortline-nr8-14-92kw-aut/,19150,21,19150,2018-06,92,Automatinė,Sedanas,Benzinas,46985,10132614
"Volkswagen Passat","05/2017, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132574/h=112/10132574.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132561/volkswagen-passat-variant-comfortline-14-92kw-aut/,13900,20,14039,2017-05,92,Automatinė,Universalas,Benzinas,90563,10132561
"Volkswagen Passat","12/2016, 2.0 dyzelis, 150 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132447/h=112/10132447.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132446/volkswagen-passat-comfortline-nr3-20-110kw-aut/,18550,21,18550,2016-12,110,Automatinė,Sedanas,Dyzelis,101028,10132446
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132696/h=112/10132696.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132248/volkswagen-passat-comfortline-14-92kw-aut/,20100,21,20100,2018-05,92,Automatinė,Universalas,Benzinas,45796,10132248
"Volkswagen Passat","08/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134033/h=112/10134033.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132174/volkswagen-passat-highline-2016m-nr6-20-110kw-aut/,17300,21,17300,2016-08,110,Automatinė,Universalas,Dyzelis,195160,10132174
"Volkswagen Passat","12/2016, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132128/h=112/10132128.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132127/volkswagen-passat-variant-rline-20-140kw-aut/,17000,20,17170,2016-12,140,Automatinė,Universalas,Dyzelis,176035,10132127
"Volkswagen Passat","05/2018, 1.4 benzinas, 150 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132083/h=112/10132083.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132082/volkswagen-passat-comfortline-nr55-14-110kw-mech/,18900,21,18900,2018-05,110,Mechaninė,Universalas,Benzinas,41365,10132082
"Volkswagen Passat","08/2012, 2.0 dyzelis, 140 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132068/h=112/10132068.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10132051/volkswagen-passat-20-103kw-mech/,9500,0,11495,2012-08,103,Mechaninė,Universalas,Dyzelis,211797,10132051
"Volkswagen Passat","06/2016, 1.8 benzinas, 180 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133488/h=112/10133488.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131721/volkswagen-passat-comfortline-18-132kw-aut/,17100,21,17100,2016-06,132,Automatinė,Sedanas,Benzinas,111589,10131721
"Volkswagen Passat","08/2015, 1.4 benzinas, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132748/h=112/10132748.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131561/volkswagen-passat-comfortline-14-110kw-aut/,15900,21,15900,2015-08,110,Automatinė,Universalas,Benzinas,98519,10131561
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10131459/h=112/10131459.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131458/volkswagen-passat-variant-comfortline-14-92kw-aut/,20600,20,20806,2018-05,92,Automatinė,Universalas,Benzinas,27855,10131458
"Volkswagen Passat","08/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132811/h=112/10132811.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131438/volkswagen-passat-comfortline-2015m-nr111-20-110kw-aut/,14800,21,14800,2015-08,110,Automatinė,Universalas,Dyzelis,173390,10131438
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10133714/h=112/10133714.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131103/volkswagen-passat-comfortline-14-92kw-aut/,20100,21,20100,2018-05,92,Automatinė,Universalas,Benzinas,41620,10131103
"Volkswagen Passat","02/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10131737/h=112/10131737.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131100/volkswagen-passat-highline-2016m-nr89-20-110kw-aut/,16800,21,16800,2016-02,110,Automatinė,Universalas,Dyzelis,167260,10131100
"Volkswagen Passat","05/2015, 1.8 benzinas, 180 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10131193/h=112/10131193.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10131022/volkswagen-passat-18-132kw-aut/,17850,21,17850,2015-05,132,Automatinė,Sedanas,Benzinas,124943,10131022
"Volkswagen Passat","02/2016, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10131402/h=112/10131402.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130999/volkswagen-passat-highline-2016-nr3-20-140kw-aut/,17200,21,17200,2016-02,140,Automatinė,Universalas,Dyzelis,209520,10130999
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10132783/h=112/10132783.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130948/volkswagen-passat-comfortline-14-92kw-aut/,20100,21,20100,2018-05,92,Automatinė,Universalas,Benzinas,45620,10130948
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130952/h=112/10130952.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130944/volkswagen-passat-comfortline-14-92kw-aut/,21000,21,21000,2018-05,92,Automatinė,Sedanas,Benzinas,41813,10130944
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130888/h=112/10130888.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130887/volkswagen-passat-comfortline-14-92kw-aut/,19800,20,19998,2018-06,92,Automatinė,Sedanas,Benzinas,37904,10130887
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130860/h=112/10130860.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130858/volkswagen-passat-comfortline-14-92kw-aut/,19600,21,19600,2018-05,92,Automatinė,Sedanas,Benzinas,51395,10130858
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130790/h=112/10130790.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130789/volkswagen-passat-comfortline-14-92kw-aut/,19800,20,19998,2018-06,92,Automatinė,Sedanas,Benzinas,40543,10130789
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130754/h=112/10130754.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130753/volkswagen-passat-comfortline-14-92kw-aut/,19800,20,19998,2018-06,92,Automatinė,Sedanas,Benzinas,45668,10130753
"Volkswagen Passat","05/2018, 1.4 benzinas, 150 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130705/h=112/10130705.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130704/volkswagen-passat-comfortline-150zs-nr11-14-110kw-mech/,18900,21,18900,2018-05,110,Mechaninė,Universalas,Benzinas,40270,10130704
